question_id,component,rank_or_level,question_type,correct_answer,text,score,answer_type,source_sentence,method,question
middle1.txt__q0,distractor,1,cloze,make sure that nobody chats in class,takes care of the whole group,0.8958,fact,"Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group.",ml-ranked,A discipline leader is supposed to _ .
middle1.txt__q0,distractor,2,cloze,make sure that nobody chats in class,play different roles,0.8601,fact,"Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group.",ml-ranked,A discipline leader is supposed to _ .
middle1.txt__q0,distractor,3,cloze,make sure that nobody chats in class,facing each other,0.8535,fact,They put their desks together so they're facing each other.,ml-ranked,A discipline leader is supposed to _ .
middle1.txt__q0,hint,1,cloze,make sure that nobody chats in class,Look in the middle of the passage. The answer is a phrase from the passage.,1.0,,,broad-typed-clue,A discipline leader is supposed to _ .
middle1.txt__q0,hint,2,cloze,make sure that nobody chats in class,"Look around sentence 9 of 20. Match the question focus (discipline, leader, supposed) with these context words: discipline, leader, makes.",1.0,,And there is a discipline leader who makes sure that nobody chats in class.,context-keywords,A discipline leader is supposed to _ .
middle1.txt__q0,hint,3,cloze,make sure that nobody chats in class,Near-explicit clue: And there is a discipline leader who ____ ____ that ____ ____ in ____.,1.0,,And there is a discipline leader who makes sure that nobody chats in class.,near-explicit-masked,A discipline leader is supposed to _ .
middle1.txt__q1,distractor,1,cloze,communicate,takes care,0.8832,fact,"Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group.",ml-ranked,The new way of learning is said to give students more chances to _ .
middle1.txt__q1,distractor,2,cloze,communicate,play different,0.8686,fact,"Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group.",ml-ranked,The new way of learning is said to give students more chances to _ .
middle1.txt__q1,distractor,3,cloze,communicate,meaning sitting,0.8614,fact,"The school calls the new way of learning ""Tuantuanzuo"", meaning sitting in groups.",ml-ranked,The new way of learning is said to give students more chances to _ .
middle1.txt__q1,hint,1,cloze,communicate,Look in the beginning of the passage. The answer is a phrase from the passage.,1.0,,,broad-typed-clue,The new way of learning is said to give students more chances to _ .
middle1.txt__q1,hint,2,cloze,communicate,"Look around sentence 6 of 20. Match the question focus (new, way, learning, said) with these context words: said, students, chances, liying, junior, teacher, give.",1.0,,"Wei Liying, a Junior 3 teacher, said it was to give students more chances to communicate.",context-keywords,The new way of learning is said to give students more chances to _ .
middle1.txt__q1,hint,3,cloze,communicate,"Near-explicit clue: Wei Liying, a Junior 3 teacher, said it was to give students more chances to ____.",1.0,,"Wei Liying, a Junior 3 teacher, said it was to give students more chances to communicate.",near-explicit-masked,The new way of learning is said to give students more chances to _ .
middle1.txt__q2,distractor,1,cloze,get benefits from,facing each other,0.8957,fact,They put their desks together so they're facing each other.,ml-ranked,We can see from the story that some students _ this new way of learning.
middle1.txt__q2,distractor,2,cloze,get benefits from,play different roles,0.8816,fact,"Each group has five or six students, according to Wei, and they play different roles .There is a team leader who takes care of the whole group.",ml-ranked,We can see from the story that some students _ this new way of learning.
middle1.txt__q2,distractor,3,cloze,get benefits from,meaning sitting,0.881,fact,"The school calls the new way of learning ""Tuantuanzuo"", meaning sitting in groups.",ml-ranked,We can see from the story that some students _ this new way of learning.
middle1.txt__q2,hint,1,cloze,get benefits from,Look in the beginning of the passage. The answer is a phrase from the passage.,0.2499,,,broad-typed-clue,We can see from the story that some students _ this new way of learning.
middle1.txt__q2,hint,2,cloze,get benefits from,"Look around sentence 1 of 20. Match the question focus (some, students, this, new) with these context words: students, take, class, dulangkou, school, you'll, lots.",0.2499,,"Take a class at Dulangkou School, and you'll see lots of things different from other schools, You can see the desks are not in rows and students sit in groups.",context-keywords,We can see from the story that some students _ this new way of learning.
middle1.txt__q2,hint,3,cloze,get benefits from,"Near-explicit clue: Take a class at Dulangkou School, and you'll see lots of things different from other schools, You can see the desks are not in rows and students sit in groups.",1.0,,"Take a class at Dulangkou School, and you'll see lots of things different from other schools, You can see the desks are not in rows and students sit in groups.",near-explicit-masked,We can see from the story that some students _ this new way of learning.
middle1.txt__q3,distractor,1,how_many,Three,about 70,0.8425,number,She used to get about 70 in English tests.,ml-ranked,How many leaders are there in one group?
middle1.txt__q3,distractor,2,how_many,Three,more than 80,0.8157,number,"But in a recent test, Zhang got a grade of more than 80.",ml-ranked,How many leaders are there in one group?
middle1.txt__q3,distractor,3,how_many,Three,five,0.8192,number,"""But now I have to think about my five group members."" But Wang has got used to it and can see the benefits now.",ml-ranked,How many leaders are there in one group?
middle1.txt__q3,hint,1,how_many,Three,Look in the beginning of the passage. The answer is a number or quantity.,1.0,,,broad-typed-clue,How many leaders are there in one group?
middle1.txt__q3,hint,2,how_many,Three,"Look around sentence 4 of 20. Match the question focus (how, leaders, one, group) with these context words: blackboards, walls, classroom.",1.0,,There are three blackboards on the three walls of the classroom!,context-keywords,How many leaders are there in one group?
middle1.txt__q3,hint,3,how_many,Three,Near-explicit clue: There are ____ blackboards on the three walls of the classroom!,1.0,,There are three blackboards on the three walls of the classroom!,near-explicit-masked,How many leaders are there in one group?
middle1019.txt__q0,distractor,1,cloze,Lynne paid only for herself,I left to meet Lynne,0.8963,fact,"Before I left to meet Lynne, my friend told me that I had better take some money, but I didn't listen to him.",ml-ranked,"After the meal, _ ,"
middle1019.txt__q0,distractor,2,cloze,Lynne paid only for herself,Saudi Arabia and Lynne,0.8948,fact,I talked a lot about Saudi Arabia and Lynne told me all about herself.,ml-ranked,"After the meal, _ ,"
middle1019.txt__q0,distractor,3,cloze,Lynne paid only for herself,better take some money,0.8948,fact,"Before I left to meet Lynne, my friend told me that I had better take some money, but I didn't listen to him.",ml-ranked,"After the meal, _ ,"
middle1019.txt__q0,hint,1,cloze,Lynne paid only for herself,Look in the middle of the passage. The answer is a phrase from the passage.,0.0013,,,broad-typed-clue,"After the meal, _ ,"
middle1019.txt__q0,hint,2,cloze,Lynne paid only for herself,"Look around sentence 8 of 13. Match the question focus (after, meal) with these context words: check, waiter, gave, mine, money.",0.0013,,"Lynne paid her check, and the waiter gave me mine, I had no money.",context-keywords,"After the meal, _ ,"
middle1019.txt__q0,hint,3,cloze,Lynne paid only for herself,"Near-explicit clue: ____ ____ her check, and the waiter gave me mine, I had no money.",1.0,,"Lynne paid her check, and the waiter gave me mine, I had no money.",near-explicit-masked,"After the meal, _ ,"
middle1019.txt__q1,distractor,1,cloze,We have to learn both their language and culture,some money,0.8815,fact,In a few minutes he arrived with some money.,ml-ranked,". From the passage we know, when we visit a foreign country, _ ."
middle1019.txt__q1,distractor,2,cloze,We have to learn both their language and culture,I left to meet Lynne,0.8704,fact,"Before I left to meet Lynne, my friend told me that I had better take some money, but I didn't listen to him.",ml-ranked,". From the passage we know, when we visit a foreign country, _ ."
middle1019.txt__q1,distractor,3,cloze,We have to learn both their language and culture,Saudi Arabia and Lynne,0.8663,fact,I talked a lot about Saudi Arabia and Lynne told me all about herself.,ml-ranked,". From the passage we know, when we visit a foreign country, _ ."
middle1019.txt__q1,hint,1,cloze,We have to learn both their language and culture,Look in the ending part of the passage. The answer is a phrase from the passage.,1.0,,,broad-typed-clue,". From the passage we know, when we visit a foreign country, _ ."
middle1019.txt__q1,hint,2,cloze,We have to learn both their language and culture,"Look around sentence 13 of 13. Match the question focus (know, visit, foreign, country) with these context words: visit, foreign, country.",1.0,,"So when you visit a foreign country, you have to learn their language and culture.",context-keywords,". From the passage we know, when we visit a foreign country, _ ."
middle1019.txt__q1,hint,3,cloze,We have to learn both their language and culture,"Near-explicit clue: So when you visit a foreign country, you ____ to ____ their ____ and ____.",1.0,,"So when you visit a foreign country, you have to learn their language and culture.",near-explicit-masked,". From the passage we know, when we visit a foreign country, _ ."
middle1029.txt__q0,distractor,1,cloze,wonderful things,greatest wonder,0.9878,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The travelers passed the time on the train by talking about _ .
middle1029.txt__q0,distractor,2,cloze,wonderful things,world's greatest,0.9428,fact,""" In my opinion,"" the first man said, "" the Egyptian pyramids are the world's greatest wonder.",ml-ranked,The travelers passed the time on the train by talking about _ .
middle1029.txt__q0,distractor,3,cloze,wonderful things,Egyptian pyramids,0.9378,fact,""" I agree that the Egyptian pyramids are wonderful,"" the second man said, "" But I don't think they're the greatest wonder.",ml-ranked,The travelers passed the time on the train by talking about _ .
middle1029.txt__q0,hint,1,cloze,wonderful things,Look in the middle of the passage. The answer is a phrase from the passage.,0.0028,,,broad-typed-clue,The travelers passed the time on the train by talking about _ .
middle1029.txt__q0,hint,2,cloze,wonderful things,"Look around sentence 7 of 13. Match the question focus (travelers, passed, time, train) with these context words: believe, computers, than, pyramids.",0.0028,,I believe computers are more wonderful than the pyramids.,context-keywords,The travelers passed the time on the train by talking about _ .
