question_id,rank,question_type,answer,generated_question,source_sentence,classifier_confidence,ranker_score,selection_score,cluster_id,cluster_question_type,cluster_purity,cluster_distance
middle1.txt__q0,1,how_many,three,There are how many blackboards on the three walls of the classroom?,There are three blackboards on the three walls of the classroom!,1.0,0.4263,1.0,1,cloze,0.6007,0.5806
middle1.txt__q0,2,what,desks,They put their what together so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8423,1.0,1,cloze,0.6007,0.1901
middle1.txt__q0,3,what,together,They put their desks what so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8752,1.0,1,cloze,0.6007,0.0955
middle1.txt__q0,4,what,they're,They put their desks together so what facing each other?,They put their desks together so they're facing each other.,1.0,0.8892,1.0,1,cloze,0.6007,0.0955
middle1.txt__q1,1,how_many,three,There are how many blackboards on the three walls of the classroom?,There are three blackboards on the three walls of the classroom!,1.0,0.4263,1.0,1,cloze,0.6007,0.5806
middle1.txt__q1,2,what,desks,They put their what together so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8423,1.0,1,cloze,0.6007,0.1901
middle1.txt__q1,3,what,together,They put their desks what so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8752,1.0,1,cloze,0.6007,0.0955
middle1.txt__q1,4,what,they're,They put their desks together so what facing each other?,They put their desks together so they're facing each other.,1.0,0.8892,1.0,1,cloze,0.6007,0.0955
middle1.txt__q2,1,how_many,three,There are how many blackboards on the three walls of the classroom?,There are three blackboards on the three walls of the classroom!,1.0,0.4263,1.0,1,cloze,0.6007,0.5806
middle1.txt__q2,2,what,desks,They put their what together so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8423,1.0,1,cloze,0.6007,0.1901
middle1.txt__q2,3,what,together,They put their desks what so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8752,1.0,1,cloze,0.6007,0.0955
middle1.txt__q2,4,what,they're,They put their desks together so what facing each other?,They put their desks together so they're facing each other.,1.0,0.8892,1.0,1,cloze,0.6007,0.0955
middle1.txt__q3,1,how_many,three,There are how many blackboards on the three walls of the classroom?,There are three blackboards on the three walls of the classroom!,1.0,0.4263,1.0,1,cloze,0.6007,0.5806
middle1.txt__q3,2,what,desks,They put their what together so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8423,1.0,1,cloze,0.6007,0.1901
middle1.txt__q3,3,what,together,They put their desks what so they're facing each other?,They put their desks together so they're facing each other.,1.0,0.8752,1.0,1,cloze,0.6007,0.0955
middle1.txt__q3,4,what,they're,They put their desks together so what facing each other?,They put their desks together so they're facing each other.,1.0,0.8892,1.0,1,cloze,0.6007,0.0955
middle1019.txt__q0,1,what,would,I thought that Lynne what pay because she invited me?,I thought that Lynne would pay because she invited me.,1.0,0.8808,1.0,1,cloze,0.6007,0.1073
middle1019.txt__q0,2,what,invited,I thought that Lynne would pay because she what me?,I thought that Lynne would pay because she invited me.,1.0,0.9035,1.0,1,cloze,0.6007,0.0906
middle1019.txt__q0,3,what,Americans,I arrived at the restaurant on time because I knew what like to be on time?,I arrived at the restaurant on time because I knew Americans like to be on time.,1.0,0.8983,1.0,1,cloze,0.6007,0.3647
middle1019.txt__q0,4,what,knew,I arrived at the restaurant on time because I what Americans like to be on time?,I arrived at the restaurant on time because I knew Americans like to be on time.,1.0,0.8918,1.0,1,cloze,0.6007,0.3601
middle1019.txt__q1,1,what,would,I thought that Lynne what pay because she invited me?,I thought that Lynne would pay because she invited me.,1.0,0.8808,1.0,1,cloze,0.6007,0.1073
middle1019.txt__q1,2,what,invited,I thought that Lynne would pay because she what me?,I thought that Lynne would pay because she invited me.,1.0,0.9035,1.0,1,cloze,0.6007,0.0906
middle1019.txt__q1,3,what,Americans,I arrived at the restaurant on time because I knew what like to be on time?,I arrived at the restaurant on time because I knew Americans like to be on time.,1.0,0.8983,1.0,1,cloze,0.6007,0.3647
middle1019.txt__q1,4,what,knew,I arrived at the restaurant on time because I what Americans like to be on time?,I arrived at the restaurant on time because I knew Americans like to be on time.,1.0,0.8918,1.0,1,cloze,0.6007,0.3601
middle1029.txt__q0,1,what,world's,Three men traveling on a train began a conversition about the what greatest wonders?,Three men traveling on a train began a conversition about the world's greatest wonders.,1.0,0.781,1.0,1,cloze,0.6007,0.1005
middle1029.txt__q0,2,what,wonders,Three men traveling on a train began a conversition about the world's greatest what?,Three men traveling on a train began a conversition about the world's greatest wonders.,1.0,0.7769,1.0,1,cloze,0.6007,0.0972
middle1029.txt__q0,3,what,first,""" In my opinion,"" the what man said, "" the Egyptian pyramids are the world's greatest wonder?",""" In my opinion,"" the first man said, "" the Egyptian pyramids are the world's greatest wonder.",1.0,0.8651,1.0,1,cloze,0.6007,0.1627
middle1029.txt__q0,4,what,said,""" In my opinion,"" the first man what, "" the Egyptian pyramids are the world's greatest wonder?",""" In my opinion,"" the first man said, "" the Egyptian pyramids are the world's greatest wonder.",1.0,0.8915,1.0,1,cloze,0.6007,0.1757
middle1029.txt__q1,1,what,world's,Three men traveling on a train began a conversition about the what greatest wonders?,Three men traveling on a train began a conversition about the world's greatest wonders.,1.0,0.781,1.0,1,cloze,0.6007,0.1005
middle1029.txt__q1,2,what,wonders,Three men traveling on a train began a conversition about the world's greatest what?,Three men traveling on a train began a conversition about the world's greatest wonders.,1.0,0.7769,1.0,1,cloze,0.6007,0.0972
middle1029.txt__q1,3,what,first,""" In my opinion,"" the what man said, "" the Egyptian pyramids are the world's greatest wonder?",""" In my opinion,"" the first man said, "" the Egyptian pyramids are the world's greatest wonder.",1.0,0.8651,1.0,1,cloze,0.6007,0.1627
middle1029.txt__q1,4,what,said,""" In my opinion,"" the first man what, "" the Egyptian pyramids are the world's greatest wonder?",""" In my opinion,"" the first man said, "" the Egyptian pyramids are the world's greatest wonder.",1.0,0.8915,1.0,1,cloze,0.6007,0.1757
